package_id,date,time_of_day,driver_id,warehouse_id,delivery_zone_id,package_type,package_weight,package_width,package_height,package_depth,package_value,promised_delivery_time,actual_delivery_time,delivery_status,customer_rating,weather_condition,traffic_condition,fuel_consumption,vehicle_type,is_return_trip,customer_id,payment_method,promotional_code_used,is_new_customer,package_insurance,has_mobile_notification,delivery_cost,profitability,optimization_factor
6fa6b079,2025-03-13,11:00,D037,W06,Z29,Standard,11.86,33.1,40.2,23.2,898.92,22.0,23.1,Slightly Delayed,4.5,Windy,Moderate,0.25,Motorcycle,False,C5766,PayPal,True,False,True,True,15.9,22.4,0.5338337897743303
b3d5e13e,2025-01-31,18:37,D036,W02,Z30,Same-day,7.34,29.3,20.8,32.9,223.06,7.0,7.8,Slightly Delayed,3.5,Rainy,Moderate,0.55,Motorcycle,False,C4308,Invoice,False,False,False,True,41.15,-21.0,0.8258574851816406
efa0e968,2025-03-05,17:13,D030,W08,Z13,Heavy,19.04,13.3,64.2,59.8,368.86,0.6,11.8,Significantly Delayed,2.5,Clear,Severe,0.0,Bicycle,False,C8589,Invoice,False,True,False,False,24.38,-13.24,0.46908286117492304
456ce96c,2025-03-14,09:40,D019,W01,Z21,Standard,1.76,86.7,85.7,69.2,168.8,6.0,8.0,Significantly Delayed,3.5,Rainy,Moderate,2.35,Truck,False,C7623,Invoice,False,False,True,True,15.98,-13.95,0.9064897753668097
5d75bce0,2025-01-31,14:02,D024,W08,Z 10,Heavy,26.72,12.9,31.6,92.6,459.64,23.0,29.1,Significantly Delayed,2.5,Stormy,Heavy,2.2,Van,False,C8546,Invoice,False,False,False,True,22.43,-27.2,0.8883808157267038
fd0aa851,2025-03-31,13:46,D028,W08,Z23,Fragile,0.48,92.2,73.1,13.8,,0.38333333333333336,22.5,Significantly Delayed,5.0,Clear,Light,0.0,Bicycle,False,C9058,Credit Card,False,False,False,True,15.26,,0.5309734493115039
9c1bf4fe,2025-03-11,12:13,D048,W08,Z06,Same-day,2.9,88.0,52.9,17.8,927.65,170.0,18.7,On Time,,Cloudy,Light,2.9,Van,False,C5082,Invoice,False,False,False,True,50.78,1.97,0.21596864397019988
da68b0bc,2025-02-21,11:22,D003,W03,Z16,Standard,9.75,52.7,53.9,74.6,871.82,20.0,21.4,Slightly Delayed,3.5,Cloudy,Heavy,0.48,Van,False,C4257,Invoice,False,True,False,False,11.99,-23.57,0.4630003217958948
a225656b,2025-01-15,10:08,D020,W03,Z04,Fragile,11.36,89.0,12.4,42.2,288.52,1.9,22.1,Slightly Delayed,3.5,Clear,Light,,Bicycle,False,C1873,Cash,False,False,False,True,30.15,,0.7113745218220411
704b8e19,2025-01-01,10:49,D044,W07,Z06,Refrigerated,5.59,18.5,66.9,91.0,675.7,0.5,11.1,Significantly Delayed,2.5,Snowy,Light,0.0,Bicycle,True,C4428,Invoice,False,False,False,True,36.69,-9.87,0.581541490505027
